id,Price
100001,9.2
100002,9.2
100003,9.2
100004,9.2
100005,9.2
100006,9.2
100007,9.2
100008,9.2
100009,9.2
100010,9.2
100011,9.2
100012,9.2
100013,9.2
100014,9.2
100015,9.2
100016,9.2
100017,9.2
100018,9.2
100019,9.2
100020,9.2
100021,9.2
100022,9.2
100023,9.2
100024,9.2
100025,9.2
100026,9.2
100027,9.2
100028,9.2
100029,9.2
100030,9.2
100031,9.2
100032,9.2
100033,9.2
100034,9.2
100035,9.2
100036,9.2
100037,9.2
100038,9.2
100039,9.2
100040,9.2
100041,9.2
100042,9.2
100043,9.2
100044,9.2
100045,9.2
100046,9.2
100047,9.2
100048,9.2
100049,9.2
100050,9.2
100051,9.2
100052,9.2
100053,9.2
100054,9.2
100055,9.2
100056,9.2
100057,9.2
100058,9.2
100059,9.2
100060,9.2
100061,9.2
100062,9.2
100063,9.2
100064,9.2
100065,9.2
100066,9.2
100067,9.2
100068,9.2
100069,9.2
100070,9.2
100071,9.2
100072,9.2
100073,9.2
100074,9.2
100075,9.2
100076,9.2
100077,9.2
100078,9.2
100079,9.2
100080,9.2
100081,9.2
100082,9.2
100083,9.2
100084,9.2
100085,9.2
100086,9.2
100087,9.2
100088,9.2
100089,9.2
100090,9.2
100091,9.2
100092,9.2
100093,9.2
100094,9.2
100095,9.2
100096,9.2
100097,9.2
100098,9.2
100099,9.2
100100,9.2
100101,9.2
100102,9.2
100103,9.2
100104,9.2
100105,9.2
100106,9.2
100107,9.2
100108,9.2
100109,9.2
100110,9.2
100111,9.2
100112,9.2
100113,9.2
100114,9.2
100115,9.2
100116,9.2
100117,9.2
100118,9.2
100119,9.2
100120,9.2
100121,9.2
100122,9.2
100123,9.2
100124,9.2
100125,9.2
100126,9.2
100127,9.2
100128,9.2
100129,9.2
100130,9.2
100131,9.2
100132,9.2
100133,9.2
100134,9.2
100135,9.2
100136,9.2
100137,9.2
100138,9.2
100139,9.2
100140,9.2
100141,9.2
100142,9.2
100143,9.2
100144,9.2
100145,9.2
100146,9.2
100147,9.2
100148,9.2
100149,9.2
100150,9.2
100151,9.2
100152,9.2
100153,9.2
100154,9.2
100155,9.2
100156,9.2
100157,9.2
100158,9.2
100159,9.2
100160,9.2
100161,9.2
100162,9.2
100163,9.2
100164,9.2
100165,9.2
100166,9.2
100167,9.2
100168,9.2
100169,9.2
100170,9.2
100171,9.2
100172,9.2
100173,9.2
100174,9.2
100175,9.2
100176,9.2
100177,9.2
100178,9.2
100179,9.2
100180,9.2
100181,9.2
100182,9.2
100183,9.2
100184,9.2
100185,9.2
100186,9.2
100187,9.2
100188,9.2
100189,9.2
100190,9.2
100191,9.2
100192,9.2
100193,9.2
100194,9.2
100195,9.2
100196,9.2
100197,9.2
100198,9.2
100199,9.2
100200,9.2
100201,9.2
100202,9.2
100203,9.2
100204,9.2
100205,9.2
100206,9.2
100207,9.2
100208,9.2
100209,9.2
100210,9.2
100211,9.2
100212,9.2
100213,9.2
100214,9.2
100215,9.2
100216,9.2
100217,9.2
100218,9.2
100219,9.2
100220,9.2
100221,9.2
100222,9.2
100223,9.2
100224,9.2
100225,9.2
100226,9.2
100227,9.2
100228,9.2
100229,9.2
100230,9.2
100231,9.2
100232,9.2
100233,9.2
100234,9.2
100235,9.2
100236,9.2
100237,9.2
100238,9.2
100239,9.2
100240,9.2
100241,9.2
100242,9.2
100243,9.2
100244,9.2
100245,9.2
100246,9.2
100247,9.2
100248,9.2
100249,9.2
100250,9.2
100251,9.2
100252,9.2
100253,9.2
100254,9.2
100255,9.2
100256,9.2
100257,9.2
100258,9.2
100259,9.2
100260,9.2
100261,9.2
100262,9.2
100263,9.2
100264,9.2
100265,9.2
100266,9.2
100267,9.2
100268,9.2
100269,9.2
100270,9.2
100271,9.2
100272,9.2
100273,9.2
100274,9.2
100275,9.2
100276,9.2
100277,9.2
100278,9.2
100279,9.2
100280,9.2
100281,9.2
100282,9.2
100283,9.2
100284,9.2
100285,9.2
100286,9.2
100287,9.2
100288,9.2
100289,9.2
100290,9.2
100291,9.2
100292,9.2
